ID,First Name,Gender,Salary,Bonus %,Team,Start Date,Last Login Time
3,Maria,Female,130590.0,11.858,Finance,4/23/1993,11:17 AM
4,Jerry,Female,90335.26726342711,9.34,Finance,1/26/2005,10:09 PM
5,Larry,Male,101004.0,10.360060723514211,Client Services,1/24/1998,4:47 PM
6,Dennis,Male,90335.26726342711,10.125,Finance,1/26/2005,1:35 AM
8,Marilyn,Female,45906.0,11.598,Finance,7/20/2015,10:43 AM
10,Marilyn,Female,139852.0,7.524,Business Development,1/26/2005,10:09 PM
12,Julie,Female,102508.0,10.360060723514211,Legal,10/26/1997,10:09 PM
13,Brandon,Male,90335.26726342711,17.492,Human Resources,1/26/2005,1:08 AM
15,Kimberly,Female,41426.0,10.360060723514211,Finance,1/26/2005,7:13 AM
16,Marilyn,Female,90335.26726342711,1.256,Finance,1/26/2005,6:09 AM
17,Marilyn,Male,90370.0,7.369,Human Resources,9/21/2010,5:56 AM
18,Shawn,Male,111737.0,10.360060723514211,Finance,1/26/2005,10:09 PM
19,Diana,Female,132940.0,19.082,Finance,10/23/1981,10:27 AM
22,Matthew,Male,90335.26726342711,13.645,Finance,1/26/2005,2:12 AM
24,Marilyn,Male,125792.0,10.360060723514211,Finance,6/14/2012,4:19 PM
25,John,Male,90335.26726342711,13.873,Client Services,1/26/2005,10:08 PM
26,Marilyn,Male,37076.0,10.360060723514211,Finance,1/26/2005,1:12 AM
27,Craig,Male,90335.26726342711,7.757,Marketing,2/27/2000,10:09 PM
29,Terry,Male,90335.26726342711,13.464,Client Services,11/27/1981,10:09 PM
30,Benjamin,Male,79529.0,10.360060723514211,Legal,1/26/2005,10:09 PM
31,Christina,Female,118780.0,9.096,Engineering,1/26/2005,1:19 PM
32,Joyce,Female,88657.0,10.360060723514211,Finance,2/20/2005,10:09 PM
34,Jean,Female,119082.0,16.18,Business Development,1/26/2005,9:07 AM
35,Jerry,Male,95734.0,10.360060723514211,Client Services,1/26/2005,10:09 PM
36,Theresa,Female,90335.26726342711,16.675,Finance,1/26/2005,1:12 AM
37,Marilyn,Female,142032.0,10.360060723514211,Business Development,2/16/2009,10:09 PM
38,Linda,Female,90335.26726342711,9.557,Finance,10/19/1981,8:49 PM
39,Stephanie,Female,36844.0,10.360060723514211,Business Development,1/26/2005,1:52 AM
40,Marilyn,Male,122173.0,7.797,Finance,1/29/2016,10:09 PM
42,Christine,Female,66582.0,10.360060723514211,Finance,1/26/2005,10:09 PM
43,Beverly,Female,90335.26726342711,15.835,Finance,1/26/2005,8:26 PM
44,Marilyn,Female,73524.0,5.207,Marketing,1/26/2005,3:16 AM
45,Cynthia,Female,145146.0,10.360060723514211,Product,11/16/1988,10:09 PM
47,Bruce,Male,114796.0,6.796,Finance,11/28/2009,10:47 PM
48,Kathy,Female,66820.0,10.360060723514211,Client Services,1/26/2005,10:09 PM
50,Marilyn,Female,90335.26726342711,3.055,Finance,1/24/1980,10:09 PM
51,Nancy,Female,94976.0,10.360060723514211,Engineering,1/26/2005,8:05 AM
53,Todd,Male,90335.26726342711,1.695,Human Resources,2/18/1990,2:41 AM
54,Alan,Female,40341.0,10.360060723514211,Finance,1/26/2005,1:28 PM
