ID,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
1,,Male,,12:42 PM,Moti,6.945,TRUE,111
2,Thomas,Male,3/31/1996,6:53 AM,,yafa,TRUE,
3,Maria,Female,4/23/1993,11:17 AM,130590,11.858,FALSE,Finance
4,Jerry,,,,,9.34,TRUE,
5,Larry,Male,1/24/1998,4:47 PM,101004,,TRUE,Client Services
6,Dennis,Male,,1:35 AM,,10.125,FALSE,
7,Ruby,4,8/17/1987,,65476,,TRUE,Product
8,,Female,7/20/2015,10:43 AM,45906,11.598,TRUE,Finance
9,Angela,Female,11/22/2005,6:29 AM,Shir,,TRUE,255
10,,Female,,,139852,7.524,TRUE,Business Development
11,Louise,Female,,9:01 AM,,moshe,TRUE,
12,Julie,Female,10/26/1997,,102508,,TRUE,Legal
13,Brandon,Male,,1:08 AM,,17.492,TRUE,Human Resources
14,,Male,1/27/2008,11:40 PM,109831,limor,TRUE,
15,Kimberly,,,7:13 AM,41426,,TRUE,Finance
16,,Female,,6:09 AM,,1.256,TRUE,
17,,Male,9/21/2010,5:56 AM,90370,7.369,FALSE,Human Resources
18,Shawn,Male,,,111737,,FALSE,
19,Diana,Female,10/23/1981,10:27 AM,132940,19.082,FALSE,
20,Donna,Female,7/22/2010,,,rio,FALSE,Product
21,Lois,,,7:18 PM,64714,,TRUE,854
22,Matthew,Male,,2:12 AM,,13.645,TRUE,
23,Joshua,,,,Chen,orian,TRUE,Client Services
24,,Male,6/14/2012,4:19 PM,125792,,TRUE,
25,John,Male,,10:08 PM,,13.873,FALSE,Client Services
26,,Male,,1:12 AM,37076,,FALSE,
27,Craig,Male,2/27/2000,,,7.757,TRUE,Marketing
28,Scott,,,6:58 PM,122367,shalom,TRUE,
29,Terry,Male,11/27/1981,,,13.464,TRUE,Client Services
30,Benjamin,Male,1/26/2005,,79529,,TRUE,Legal
31,Christina,Female,,1:19 PM,118780,9.096,TRUE,Engineering
32,Joyce,,2/20/2005,,88657,,FALSE,
33,,Male,8/21/1998,,Jesika,6.417,FALSE,
34,Jean,Female,,9:07 AM,119082,16.18,FALSE,Business Development
35,Jerry,Male,,,95734,,FALSE,Client Services
36,Theresa,Female,,1:12 AM,,16.675,FALSE,
37,,Female,2/16/2009,,142032,,FALSE,Business Development
38,Linda,Female,10/19/1981,8:49 PM,,9.557,FALSE,
39,Stephanie,Female,,1:52 AM,36844,,FALSE,Business Development
40,,Male,1/29/2016,,122173,7.797,FALSE,
41,Michael,Male,,11:25 AM,Tal,2.665,FALSE,Distribution
42,Christine,,,,66582,,TRUE,
43,Beverly,Female,,8:26 PM,,15.835,TRUE,
44,Marilyn,Female,,3:16 AM,73524,5.207,TRUE,Marketing
45,Cynthia,Female,11/16/1988,,145146,,TRUE,Product
46,Roger,Male,4/17/1980,,,natali,TRUE,
47,Bruce,Male,11/28/2009,10:47 PM,114796,6.796,FALSE,Finance
48,Kathy,Female,,,66820,,FALSE,Client Services
49,Clarence,2,3/26/1996,5:57 AM,93581,6.083,TRUE,Business Development
50,,,1/24/1980,,,3.055,FALSE,
51,Nancy,Female,,8:05 AM,94976,,FALSE,Engineering
52,,,12/17/2011,,41126,amit,FALSE,Sales
53,Todd,Male,2/18/1990,2:41 AM,,1.695,TRUE,Human Resources
54,Alan,,,1:28 PM,40341,,TRUE,
55,Sara,5,,,83677,8.999,FALSE,Engineering
56,Karen,Female,11/30/1999,7:46 AM,102488,dani,FALSE,Product
57,Carl,Male,,5:55 PM,,,FALSE,Finance
58,Henry,Male,6/26/1996,,64715,15.107,FALSE,
59,Theresa,Female,,7:18 AM,72670,1.481,FALSE,Engineering
60,Irene,Female,,9:32 AM,,,FALSE,Engineering
61,Paula,,11/23/2005,,48866,4.271,FALSE,
62,,Female,,12:03 PM,,,FALSE,Business Development
63,,Female,,,58112,19.414,FALSE,Marketing
64,Matthew,Male,,10:33 PM,,18.04,FALSE,Human Resources
65,Kathleen,,,,77834,,FALSE,
66,Steve,Male,,11:44 PM,,uriel,FALSE,Distribution
67,Nancy,Female,12/15/2012,11:57 PM,125250,2.672,FALSE,
68,Rachel,Female,8/16/1999,6:53 AM,51178,,FALSE,Finance
69,Jose,Male,10/30/2004,1:39 PM,,14.33,FALSE,
70,Irene,,7/14/2015,4:31 PM,100863,,FALSE,Finance
71,Todd,,,2:26 PM,84692,6.617,FALSE,Client Services
72,Johnny,Male,,4:23 PM,118172,,FALSE,
73,Bobby,Male,,10:01 AM,,3.833,FALSE,Product
74,Frances,Female,,4:19 PM,90582,4.709,TRUE,Sales
75,,Male,,2:24 PM,62096,,FALSE,
